,Ticker,Report Date,Close,Return QOQ,Moveup QOQ,Sector,Industry,Report Y-M,(Dividends + Share Buyback) / FCF,Asset Turnover,CapEx / (Depr + Amor),Current Ratio,Debt Ratio,Dividends / FCF,Dummy_Dividends,Gross Profit Margin,Interest Coverage,Inventory Turnover,Log Revenue,Net Profit Margin,Quick Ratio,Return on Assets,Return on Equity,Share Buyback / FCF,Assets Growth,Assets Growth QOQ,Assets Growth YOY,Earnings Growth,Earnings Growth QOQ,Earnings Growth YOY,FCF Growth,FCF Growth QOQ,FCF Growth YOY,Sales Growth,Sales Growth QOQ,Sales Growth YOY,P/E,PEG,Unemployment Rate,Unemployment Rate Growth MOM,Unemployment Rate Growth QOQ,Unemployment Rate Growth YOY,CPI,CPI Growth MOM,CPI Growth QOQ,CPI Growth YOY,IPI,IPI Growth MOM,IPI Growth QOQ,IPI Growth YOY,New Housing Permits,New Housing Permits Growth MOM,New Housing Permits Growth QOQ,New Housing Permits Growth YOY,Consumer Sentiment,Consumer Sentiment Growth MOM,Consumer Sentiment Growth QOQ,Consumer Sentiment Growth YOY,Real GDP Growth QOQ,Real GDP Growth YOY,M2 Growth MOM,M2 Growth QOQ,M2 Growth YOY,x0_Basic Materials,x0_Business Services,x0_Consumer Cyclical,x0_Consumer Defensive,x0_Energy,x0_Financial Services,x0_Healthcare,x0_Industrials,x0_Real Estate,x0_Technology,x0_Utilities
3510,DLTR,2015-02-28,79.68,-0.043800200803213014,0,Consumer Defensive,Retail - Defensive,2015-02,-0.010440835266821344,2.4828517979630016,1.4809122459097668,2.0728216964800925,0.22478249250230128,-0.0,0,0.3517550678705974,28.953890489913544,6.407770710399264,9.922284194100154,0.07246307480715182,0.470398153491056,0.1799150755708644,0.3822471768342691,-0.010440835266821344,0.1682045233800471,0.07597686827055172,0.1682045233800471,-0.01029075465534135,0.09465020576131676,0.06060606060606055,0.3903225806451613,-1.883248730964467,2.845303867403315,0.06499643366619122,0.0315592536064202,0.11168886294901048,28.00719371552733,-27.21587935340619,5.7,0.017857142857143016,0.0,-0.13636363636363624,234.747,-0.006370316441765556,-0.011300172682474852,-0.002299309782054282,105.9806,-0.0049564119295643074,0.0013691032421006,0.031726530739396575,1048.0,-0.020560747663551426,-0.042047531992687404,0.07377049180327866,98.1,0.04807692307692313,0.1288837744533946,0.208128078817734,0.005627937376789793,0.0287685488334517,0.01124266921625705,0.02267037312015474,0.060766158640328076,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11750,WAT,2018-03-31,198.65,-0.02547193556506422,0,Healthcare,Medical Instruments & Equipment,2018-03,0.386639919494966,0.43368228333427866,1.4723026851098453,7.044600656265621,0.37521434525202496,-0.0,0,0.5898505810544296,32.67241462357305,8.542838538776296,9.363438603509396,0.008796151537540094,6.479387353441435,0.0038147350833547134,0.009092626516034649,0.386639919494966,0.14206062171242362,0.031254981372210056,0.14206062171242362,-0.9610529565505856,-3.5948686298712746,-3.025324295495992,0.10003387969627853,0.20604332189103247,0.07099026661024133,0.06535641635250711,0.2151599055135931,0.09301719024089228,29.2699649409248,-0.3045614161157222,4.1,0.0,-0.023809523809523947,-0.10869565217391307,249.475,0.002648543502025591,0.008660389030173965,0.02232120904158541,106.6419,0.003542071509567979,0.0042272089497426,0.03890970979435515,1332.0,-0.0241758241758242,0.025404157043879882,0.07506053268765123,99.7,0.041797283176593585,0.012182741116751215,0.03530633437175501,0.00874861632285917,0.02795256636878185,0.004133987281147222,0.006489850134272722,0.038695065894851284,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8968,PAYX,2019-11-30,86.12,-0.10032512772875056,0,Industrials,Business Services,2019-11,0.8990177494399448,0.4516797480956681,0.6649874055415617,1.1518399502435992,0.09874742423190017,0.7301395829743236,1,0.6827793013301894,8.469314079422384,20.8316244907669,9.59125387363017,0.27039495604480096,0.21818181818181814,0.12213192563265494,0.4187671178501965,0.16887816646562126,0.2252765957446809,-0.004356846473029029,0.2252765957446809,0.11111111111111116,0.14670138888888884,0.08456486042692933,0.1537926235212248,0.26338228327806723,0.07323943661971821,0.13855087688581524,0.01183190534475731,0.14974501622624015,30.122018561484925,2.7109816705336423,3.6,0.02857142857142869,-0.027027027027027084,-0.05263157894736836,257.22900000000004,0.0024786334779201,0.0044594219933069565,0.017612361884190353,109.027,-0.0040695151750439465,-0.0005335279212945743,-0.008092506584543746,1503.0,0.045929018789144134,0.10029282576866773,0.18626677190213087,95.5,0.02467811158798283,-0.029471544715447218,-0.03144016227180524,0.0052177862732667455,0.020733347853381767,0.00624954629745722,0.022025309668078696,0.07057700139019563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12035,WU,2018-06-30,20.33,-0.062469257255287736,0,Financial Services,Credit Services,2018-06,1.0351674238600033,0.6107205050065303,0.7139057750759878,0.14956936573495982,0.22987409370807535,0.5549385832071344,1,0.3975905761588224,6.789844851904089,30.138899726882556,9.749063488247508,-0.09003261276353074,0.14956936573495982,-0.054984762734000873,1.3443320915380519,0.4802288406528689,-0.031414716424204125,-0.004701345408063773,-0.031414716424204125,-3.2041884816753927,-1.1905611562137568,0.32096474953617804,-0.15964366515837106,-0.6299883765982177,0.5943238731218699,0.03384553025278203,-0.03399847041646386,0.06679975429975428,-17.07486447675462,0.053289201226472745,3.8,-0.05000000000000005,-0.07317073170731703,-0.13636363636363644,250.64,0.002732469984837449,0.004669806593847081,0.0275247411100088,107.3639,-0.007931821814912476,0.006770321984135741,0.02826279128345255,1330.0,-0.041095890410958964,-0.0015015015015015232,0.10008271298593874,98.0,-0.0080971659919028,-0.01705115346038122,0.009268795056642798,0.006319564879483597,0.028618726561004282,0.004316782112734119,0.012896007115038577,0.04212911033709199,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5014,GPS,2013-05-28,40.52,-0.001974333662389083,0,Consumer Cyclical,Retail - Apparel & Specialty,2013-05,0.8582615505090054,2.0951807228915658,1.1788908765652952,1.7627986348122866,0.16680053547523427,0.18794048551292086,1,0.3942879049262028,23.975308641975307,8.902730375426621,10.194542091442036,0.07251932783847677,0.64419795221843,0.15194109772423026,0.3921907394609537,0.6703210649960846,0.006467259498787348,-0.06706631697264898,0.006467259498787348,0.36254501800720296,0.13961038961038952,0.6100917431192661,0.5668711656441718,3.8640776699029127,-0.15514333895446886,0.07574403739088598,0.22282608695652173,0.10319869250525326,17.421814977973572,0.4805421151209265,7.6,0.013333333333333195,-0.05000000000000005,-0.07317073170731703,231.797,-0.002087979266581219,0.0005093254028203376,0.011388080475768671,101.6364,-0.0017188644886526605,0.008093600104740695,0.01737527101939329,1012.0,0.08119658119658113,0.07659574468085117,0.3825136612021858,76.4,-0.02798982188295152,0.035230352303523116,0.0,0.008856750894043808,0.015719476053010828,0.0030173473827586057,0.014222315741148297,0.07050486083769948,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10062,SBUX,2014-03-31,36.69,0.05451076587626047,1,Consumer Cyclical,Restaurants,2014-03,-0.9119801022523144,1.4932131991575006,1.7127706584180291,1.273078225533356,0.27975290370322703,-0.9240016581456404,1,0.571826920565264,65.92777777777778,16.233647832078873,10.185065954716858,0.007627406420604445,0.7763630206569591,0.011389343942585223,0.023887923100521527,0.012021555893325963,0.2079009670086336,-0.10953658600119832,0.2079009670086336,-0.9185438315084734,-1.4388442496550604,0.2510411846367422,-1.5154191296916175,-4.306081754735793,-3.01507049100632,0.12315444363764395,0.11901179824214105,0.1176842771274913,479.6557833904108,-5.22191502394283,6.7,0.015151515151515138,-0.028985507246376833,-0.1298701298701299,235.547,0.0011007786202441583,0.0061811191798377685,0.011204746347724948,103.5917,0.008470467749723598,0.007329982428657011,0.021619435993274202,1039.0,0.06454918032786883,0.009718172983479212,0.06020408163265301,81.6,0.0049261083743841185,0.08655126498002662,0.051546391752577365,0.007982489383266067,0.02614122744692482,0.003868402672063453,0.016502547920860255,0.06456360925674454,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8317,NLSN,2012-12-30,30.26,0.1837409120951752,1,Industrials,Business Services,2012-12,-0.08991825613079019,0.3617549668874172,0.727447216890595,0.9318936877076412,0.4608167770419426,-0.0,0,0.5846681922196796,2.3619791666666665,10.36133313026151,9.719662683018047,0.06273836765827613,0.7774086378737541,0.022695916114790292,0.06605099377635013,-0.08991825613079019,0.062709530651341,0.0063172509545297295,-0.0001379500620775076,0.09747292418772567,0.00961538461538458,0.02941176470588225,0.004615061883784355,4.608695652173913,0.303030303030303,0.041766071535614735,0.006706408345752646,-0.04387827317763626,34.022834434417184,0.5214149238058124,7.7,-0.012820512820512777,-0.0493827160493826,-0.10465116279069764,231.24900000000002,-0.0016793444944266378,0.005789020433371928,0.017960197033926262,100.5991,0.004818376954094593,0.0074417160711426344,0.02397924336824997,917.0,0.03382187147688831,0.09166666666666656,0.2988668555240792,82.7,0.001210653753026758,0.11305518169582784,0.2982731554160125,0.0013494820945763042,0.025281245456901358,0.01687870253471879,0.026418201601756675,0.08634033988338552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
8746,OKE,2015-12-30,23.44,0.27389078498293506,1,Energy,Oil & Gas - Midstream,2015-12,0.1505026764544485,0.5595115595534726,4.378284122693068,0.485913808552642,0.5623878261818286,-1.302672312932918,1,0.24063797096532105,2.6914393298617125,42.345358007339726,9.938373201125076,0.03618801365253164,0.3185033208028677,0.020247611955870336,0.07777614027179022,1.4531749893873662,0.0835722205034084,-0.009129151923369385,0.0835722205034084,0.011943280696100622,0.07387752434481397,0.2745818982903596,-0.4520665294700818,5.52348784036583,-2.367993200244093,-0.3220975005863336,-0.10765996319638804,-0.3913917462169226,15.70851225772756,13.152594046337914,5.1,0.020000000000000014,0.0,-0.1206896551724138,238.017,0.0011946174910508756,-6.721757067296165e-05,0.004363182169185187,102.6866,-0.006876368503717646,-0.014165421012057087,-0.03728364181153043,1245.0,0.07512953367875652,0.06866952789699576,0.17563739376770535,91.3,0.014444444444444482,-0.006528835690968515,0.028153153153153143,0.0033065663836304715,0.024410254460905945,0.0059504912614878345,0.015056059797116772,0.058057998065018664,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
11257,UNH,2014-03-31,81.99,-0.0029271862422245447,0,Healthcare,Health Care Plans,2014-03,0.6382828993666432,1.4959209594294232,0.9505454545454546,0.7309637387468169,0.20590605993991354,0.18578465869106264,1,0.24442194809329815,13.591807909604519,8.990741379490279,11.088097089077678,0.04592249099919177,0.4399053118611241,0.06869641679489998,0.16879726323370545,0.4524982406755806,0.012326142053532774,0.00023209508569199677,0.012326142053532774,0.01791530944625408,-0.09108280254777068,0.14710610932475876,-0.0658997534921939,-0.8019769357495882,-0.5701001430615165,0.10731526514672107,0.016098484848484862,0.08161562793284438,14.911248,8.323187519999998,6.7,0.015151515151515138,-0.028985507246376833,-0.1298701298701299,235.547,0.0011007786202441583,0.0061811191798377685,0.011204746347724948,103.5917,0.008470467749723598,0.007329982428657011,0.021619435993274202,1039.0,0.06454918032786883,0.009718172983479212,0.06020408163265301,81.6,0.0049261083743841185,0.08655126498002662,0.051546391752577365,0.007982489383266067,0.02614122744692482,0.003868402672063453,0.016502547920860255,0.06456360925674454,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
361,ADM,2014-09-30,51.1,0.03502935420743647,1,Consumer Defensive,Consumer Packaged Goods,2014-09,0.3741452295669163,2.1969947407963937,0.8906426155580609,2.0736691615507525,0.14079639368895566,0.18430478671442527,1,0.047568565761575816,8.867857142857142,9.721409574468085,10.943128327494529,0.018808563025784833,0.5117315616853082,0.04132231404958678,0.08160640981255254,0.18984044285249105,-0.007654455986878085,-0.03653122285493682,-0.007654455986878085,0.3935810810810811,0.99625468164794,1.390134529147982,-0.2829792201727761,-3.1185185185185187,-0.3690016547159404,-0.035946239985933603,0.03855817549284879,-0.046448693491859316,20.509681818181818,0.5211043620756924,6.1,-0.016129032258064613,-0.031746031746031744,-0.1527777777777779,237.46,-0.00016000134737970126,0.0022877113600485717,0.017150983482969062,105.4986,-0.0011087366745664573,0.0046031431640372045,0.03236987318806883,1047.0,-0.02695167286245348,0.028487229862475424,0.08609958506224058,82.5,0.008557457212714059,0.0073260073260073,0.004872107186358221,0.013536813319740215,0.026720123780876515,0.00387728904141893,0.01079759779827505,0.06045958137689932,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
